"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.493652340E-1,1.588439941E0,-5.280410767E0,9.301467896E0
8.518371580E-1,1.653686523E0,-5.312133789E0,9.245803833E0
8.543090820E-1,1.677627563E0,-5.321716309E0,9.223663330E0
8.568115230E-1,1.748855591E0,-5.278610229E0,9.217071533E0
8.592834470E-1,1.802734375E0,-5.253479004E0,9.128494263E0
8.617553710E-1,1.823074341E0,-5.297164917E0,9.035110474E0
8.642578120E-1,1.860183716E0,-5.388748169E0,8.963882446E0
8.667297360E-1,1.881729126E0,-5.449798584E0,8.833404541E0
8.692016600E-1,1.886520386E0,-5.465957642E0,8.713088989E0
8.717041010E-1,1.799728394E0,-5.429443359E0,8.516174316E0
8.741760250E-1,1.848815918E0,-5.724533081E0,8.336608887E0
8.766784660E-1,1.826065063E0,-5.780197144E0,8.019378662E0
8.791503900E-1,1.757843018E0,-5.876571655E0,7.776962280E0
8.816223140E-1,1.675231934E0,-5.864593506E0,7.487258911E0
8.841247560E-1,1.581863403E0,-5.879562378E0,7.227493286E0
8.865966790E-1,1.518417358E0,-5.891525269E0,6.985076904E0
8.890686030E-1,1.523803711E0,-5.799346924E0,6.739669800E0
8.915710450E-1,1.466339111E0,-5.756851196E0,6.573867798E0
8.940429680E-1,1.475921631E0,-5.753265381E0,6.471527100E0
8.965454100E-1,1.454971313E0,-5.691619873E0,6.473312378E0
8.990173340E-1,1.448989868E0,-5.675460815E0,6.452362061E0
9.014892570E-1,1.448989868E0,-5.744888306E0,6.435012817E0
9.039916990E-1,1.445983887E0,-5.837066650E0,6.508041382E0
9.064636230E-1,1.501052856E0,-5.888534546E0,6.459548950E0
9.089660640E-1,1.475326538E0,-5.978317261E0,6.460754395E0
9.114379880E-1,1.522598267E0,-6.090255737E0,6.457153320E0
9.139099120E-1,1.498062134E0,-6.183029175E0,6.471527100E0
9.164123530E-1,1.451370239E0,-6.128555298E0,6.455963135E0
9.188842770E-1,1.474121094E0,-6.451766968E0,6.493072510E0
9.213562010E-1,1.589050293E0,-6.559509277E0,6.469131470E0
9.238586420E-1,1.604003906E0,-6.572082520E0,6.426635742E0
9.263305660E-1,1.556716919E0,-6.576278687E0,6.318298340E0
9.288330070E-1,1.456771851E0,-6.690597534E0,6.449981689E0
9.313049310E-1,1.505249023E0,-6.965927124E0,6.466140747E0
9.337768550E-1,1.526794434E0,-7.106582642E0,6.332061768E0
9.362792970E-1,1.469329834E0,-7.176025391E0,6.365585327E0
9.387512200E-1,1.588439941E0,-7.334030151E0,6.336853027E0
9.412231440E-1,1.598617554E0,-7.378921509E0,6.290161133E0
9.437255860E-1,1.472320557E0,-6.865966797E0,6.196182251E0
9.461975090E-1,1.643508911E0,-7.242462158E0,6.159683228E0
9.486694330E-1,1.506439209E0,-7.392700195E0,5.817306519E0
9.511718750E-1,1.419647217E0,-7.703338623E0,5.707778931E0
9.536437980E-1,1.443603516E0,-8.138488770E0,5.844833374E0
9.561462400E-1,1.569885254E0,-8.412033081E0,5.866394043E0
9.586181640E-1,1.622558594E0,-8.623321533E0,5.961563110E0
9.610900880E-1,1.849411011E0,-8.760986328E0,6.111190796E0
9.635925290E-1,2.101409912E0,-9.024948120E0,6.208755493E0
9.660644530E-1,2.226501465E0,-9.125503540E0,6.378143311E0
9.685363770E-1,2.363571167E0,-9.152435303E0,6.634323120E0
9.710388180E-1,2.479095459E0,-9.195526123E0,6.753433228E0
9.735107420E-1,2.608978271E0,-9.381683350E0,6.957550049E0
9.760131830E-1,2.751434326E0,-9.731826782E0,7.153869629E0
9.784851070E-1,2.870544434E0,-9.975433350E0,7.260406494E0
9.809570310E-1,2.984268188E0,-1.019570923E1,7.414840698E0
9.834594720E-1,3.141677856E0,-1.042375183E1,7.554901123E0
9.859313960E-1,3.299697876E0,-1.054765320E1,7.618942261E0
9.884338380E-1,3.387695312E0,-1.056141663E1,7.699752808E0
9.909057610E-1,3.451141357E0,-1.053868103E1,7.796112061E0
