"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.158752440E-1,-1.580276489E0,2.451065063E0,9.965866089E0
6.183776860E-1,-1.562316895E0,2.510925293E0,9.909591675E0
6.208496100E-1,-1.590454102E0,2.518096924E0,9.842559814E0
6.233520510E-1,-1.550354004E0,2.469024658E0,9.840164185E0
6.258239750E-1,-1.484512329E0,2.438491821E0,9.825195312E0
6.282958990E-1,-1.479125977E0,2.506134033E0,9.744995117E0
6.307983400E-1,-1.505462646E0,2.552215576E0,9.691131592E0
6.332702640E-1,-1.484512329E0,2.521697998E0,9.682144165E0
6.357421880E-1,-1.409698486E0,2.558212280E0,9.636657715E0
6.382446290E-1,-1.404312134E0,2.537857056E0,9.651626587E0
6.407165530E-1,-1.437225342E0,2.561798096E0,9.603744507E0
6.432189940E-1,-1.384552002E0,2.571380615E0,9.591171265E0
6.456909180E-1,-1.374984741E0,2.595321655E0,9.624679565E0
6.481628420E-1,-1.362411499E0,2.583343506E0,9.528320312E0
6.506652830E-1,-1.357025146E0,2.604293823E0,9.507965088E0
6.531372070E-1,-1.325897217E0,2.649185181E0,9.539093018E0
6.556091310E-1,-1.345046997E0,2.634826660E0,9.548675537E0
6.581115720E-1,-1.303146362E0,2.599502563E0,9.563629150E0
6.605834960E-1,-1.240905762E0,2.628829956E0,9.578002930E0
6.630859380E-1,-1.208587646E0,2.609680176E0,9.624679565E0
6.655578620E-1,-1.201995850E0,2.604888916E0,9.644439697E0
6.680297850E-1,-1.174468994E0,2.616271973E0,9.674362183E0
6.705322270E-1,-1.196609497E0,2.652175903E0,9.654022217E0
6.730041510E-1,-1.170272827E0,2.640213013E0,9.674957275E0
6.754760740E-1,-1.129577637E0,2.646194458E0,9.712081909E0
6.779785160E-1,-1.087081909E0,2.637207031E0,9.717468262E0
6.804504400E-1,-1.073303223E0,2.611480713E0,9.753372192E0
6.829528810E-1,-1.059539795E0,2.629440308E0,9.756973267E0
6.854248050E-1,-1.077499390E0,2.616271973E0,9.710281372E0
6.878967290E-1,-1.061935425E0,2.562393188E0,9.697113037E0
6.903991700E-1,-1.027816772E0,2.583938599E0,9.679748535E0
6.928710940E-1,-9.954986572E-1,2.589324951E0,9.684539795E0
6.953430180E-1,-1.021835327E0,2.582153320E0,9.730636597E0
6.978454590E-1,-1.027816772E0,2.565994263E0,9.662994385E0
7.003173830E-1,-1.034408569E0,2.593521118E0,9.669570923E0
7.028198240E-1,-1.021835327E0,2.613876343E0,9.683349609E0
7.052917480E-1,-1.060134888E0,2.600097656E0,9.678558350E0
7.077636720E-1,-1.082885742E0,2.594711304E0,9.672576904E0
7.102661130E-1,-1.105636597E0,2.583343506E0,9.667785645E0
7.127380370E-1,-1.144531250E0,2.628234863E0,9.709075928E0
7.152099610E-1,-1.121185303E0,2.567779541E0,9.703689575E0
7.177124030E-1,-1.088867188E0,2.543243408E0,9.733016968E0
7.201843260E-1,-1.144531250E0,2.561798096E0,9.724044800E0
7.226867680E-1,-1.177459717E0,2.573760986E0,9.758758545E0
7.251586920E-1,-1.151123047E0,2.555816650E0,9.724639893E0
7.276306150E-1,-1.176864624E0,2.558807373E0,9.730026245E0
7.301330570E-1,-1.209182739E0,2.554016113E0,9.806045532E0
7.326049810E-1,-1.269027710E0,2.549819946E0,9.763549805E0
7.351074220E-1,-1.266647339E0,2.543243408E0,9.780914307E0
7.375793460E-1,-1.287582397E0,2.583343506E0,9.787490845E0
7.400512700E-1,-1.302551270E0,2.564193726E0,9.829391479E0
7.425537110E-1,-1.322906494E0,2.549819946E0,9.794677734E0
7.450256350E-1,-1.357025146E0,2.572570801E0,9.776123047E0
7.474975590E-1,-1.379165649E0,2.570175171E0,9.764739990E0
7.500000000E-1,-1.425857544E0,2.535461426E0,9.737808228E0
7.524719240E-1,-1.431838989E0,2.564788818E0,9.720458984E0
7.549438480E-1,-1.409698486E0,2.561203003E0,9.696517944E0
7.574462890E-1,-1.462966919E0,2.567779541E0,9.695907593E0
7.599182130E-1,-1.488708496E0,2.570770264E0,9.639648438E0
7.624206550E-1,-1.497680664E0,2.575561523E0,9.642044067E0
7.648925780E-1,-1.532989502E0,2.596511841E0,9.605529785E0
7.673645020E-1,-1.528213501E0,2.554611206E0,9.524124146E0
7.698669440E-1,-1.504257202E0,2.613265991E0,9.505569458E0
7.723388670E-1,-1.562316895E0,2.606689453E0,9.515747070E0
7.748413090E-1,-1.566513062E0,2.555206299E0,9.422378540E0
7.773132330E-1,-1.580276489E0,2.591125488E0,9.412796021E0
7.797851560E-1,-1.577285767E0,2.607284546E0,9.376892090E0
7.822875980E-1,-1.562316895E0,2.600708008E0,9.348754883E0
7.847595220E-1,-1.560531616E0,2.630630493E0,9.362518311E0
7.872314460E-1,-1.611999512E0,2.669540405E0,9.328399658E0
7.897338870E-1,-1.594039917E0,2.646789551E0,9.332000732E0
7.922058110E-1,-1.629364014E0,2.609680176E0,9.378677368E0
7.946777350E-1,-1.618591309E0,2.594711304E0,9.401428223E0
7.971801760E-1,-1.569503784E0,2.567779541E0,9.364913940E0
7.996521000E-1,-1.591049194E0,2.636016846E0,9.394836426E0
8.021545410E-1,-1.544372559E0,2.625839233E0,9.426559448E0
8.046264650E-1,-1.510848999E0,2.601303101E0,9.410400391E0
8.070983890E-1,-1.502471924E0,2.604293823E0,9.397842407E0
8.096008300E-1,-1.431838989E0,2.587539673E0,9.449905396E0
8.120727540E-1,-1.427047729E0,2.598907471E0,9.429565430E0
8.145446780E-1,-1.408493042E0,2.591720581E0,9.475646973E0
8.170471190E-1,-1.390533447E0,2.586334229E0,9.514556885E0
8.195190430E-1,-1.373779297E0,2.573760986E0,9.484024048E0
8.220214850E-1,-1.338470459E0,2.571380615E0,9.434951782E0
8.244934080E-1,-1.348648071E0,2.545043945E0,9.461883545E0
8.269653320E-1,-1.290588379E0,2.540252686E0,9.428955078E0
8.294677740E-1,-1.292968750E0,2.524093628E0,9.409805298E0
8.319396970E-1,-1.257659912E0,2.533065796E0,9.417587280E0
8.344421390E-1,-1.270233154E0,2.569580078E0,9.393646240E0
8.369140630E-1,-1.236709595E0,2.591125488E0,9.396041870E0
8.393859870E-1,-1.230728149E0,2.533660889E0,9.359527588E0
8.418884280E-1,-1.264251709E0,2.564788818E0,9.337982178E0
8.443603520E-1,-1.228927612E0,2.565383911E0,9.361328125E0
8.468322760E-1,-1.221145630E0,2.557601929E0,9.311050415E0
8.493347170E-1,-1.249877930E0,2.556411743E0,9.223052979E0
8.518066410E-1,-1.222351074E0,2.588134766E0,9.236831665E0
8.542785650E-1,-1.193023682E0,2.561203003E0,9.227844238E0
8.567810060E-1,-1.218154907E0,2.543838501E0,9.178771973E0
8.592529300E-1,-1.196014404E0,2.586929321E0,9.143447876E0
8.617553710E-1,-1.221145630E0,2.545639038E0,9.176376343E0
8.642272950E-1,-1.189422607E0,2.553421021E0,9.146438599E0
8.666992190E-1,-1.142745972E0,2.596511841E0,9.118911743E0
8.692016600E-1,-1.222351074E0,2.607879639E0,9.140457153E0
8.716735840E-1,-1.276809692E0,2.609085083E0,9.111129761E0
8.741760260E-1,-1.260650635E0,2.597106934E0,9.082992554E0
8.766479490E-1,-1.238510132E0,2.603103638E0,9.107543945E0
8.791198730E-1,-1.255859375E0,2.571380615E0,9.097366333E0
8.816223150E-1,-1.286392212E0,2.596511841E0,9.141662598E0
8.840942380E-1,-1.275619507E0,2.623443604E0,9.167999268E0
8.865661620E-1,-1.276809692E0,2.614471436E0,9.180557251E0
8.890686040E-1,-1.276214600E0,2.612075806E0,9.137466431E0
8.915405280E-1,-1.270233154E0,2.588729858E0,9.126098633E0
8.940429690E-1,-1.295974731E0,2.537857056E0,9.156616211E0
8.965148930E-1,-1.302551270E0,2.569580078E0,9.164993286E0
8.989868170E-1,-1.282196045E0,2.624649048E0,9.156616211E0
9.014892580E-1,-1.218750000E0,2.598907471E0,9.210494995E0
9.039611820E-1,-1.206787109E0,2.638412476E0,9.198516846E0
9.064331060E-1,-1.193618774E0,2.668930054E0,9.151824951E0
9.089355470E-1,-1.152908325E0,2.646789551E0,9.163803101E0
9.114074710E-1,-1.160690308E0,2.619262695E0,9.145843506E0
9.139099120E-1,-1.121185303E0,2.624649048E0,9.138656616E0
9.163818360E-1,-1.115203857E0,2.565383911E0,9.179962158E0
9.188537600E-1,-1.095458984E0,2.565383911E0,9.154220581E0
9.213562010E-1,-1.100250244E0,2.555206299E0,9.149444580E0
9.238281250E-1,-1.072113037E0,2.594116211E0,9.211685181E0
9.263000490E-1,-1.048767090E0,2.585739136E0,9.230834961E0
9.288024900E-1,-1.040985107E0,2.592926025E0,9.261962891E0
9.312744140E-1,-1.033798218E0,2.613876343E0,9.269744873E0
9.337768560E-1,-1.026626587E0,2.591125488E0,9.355941772E0
9.362487800E-1,-1.040390015E0,2.575561523E0,9.353546143E0
9.387207030E-1,-9.781341553E-1,2.566589355E0,9.383468628E0
9.412231450E-1,-9.685668945E-1,2.574371338E0,9.463073730E0
9.436950690E-1,-9.212799072E-1,2.540847778E0,9.387054443E0
9.461669920E-1,-8.680114746E-1,2.564788818E0,9.430160522E0
9.486694340E-1,-8.464508057E-1,2.589324951E0,9.387054443E0
9.511413580E-1,-8.763885498E-1,2.557006836E0,9.362518311E0
9.536437990E-1,-8.374786377E-1,2.530670166E0,9.385864258E0
9.561157230E-1,-8.811798096E-1,2.546234131E0,9.395446777E0
9.585876470E-1,-8.518371582E-1,2.545043945E0,9.349945068E0
9.610900880E-1,-8.309020996E-1,2.549819946E0,9.422973633E0
9.635620120E-1,-8.416748047E-1,2.562988281E0,9.374496460E0
9.660339360E-1,-8.674011230E-1,2.579757690E0,9.381668091E0
9.685363770E-1,-8.793792725E-1,2.557006836E0,9.397842407E0
9.710083010E-1,-8.428649902E-1,2.575561523E0,9.343368530E0
9.735107420E-1,-8.602294922E-1,2.562988281E0,9.369705200E0
9.759826660E-1,-8.452606201E-1,2.556411743E0,9.389450073E0
9.784545900E-1,-8.350830078E-1,2.560592651E0,9.409210205E0
9.809570310E-1,-8.093414307E-1,2.546234131E0,9.374496460E0
9.834289550E-1,-8.171234131E-1,2.542037964E0,9.406814575E0
9.859008790E-1,-8.219146729E-1,2.507934570E0,9.388854980E0
