"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.587463380E-1,-1.537017822E-1,1.837158203E-2,-1.324768066E-1
5.612182620E-1,-1.451873779E-1,2.395629883E-3,-1.239471436E-1
5.636901850E-1,-1.334686279E-1,-1.997375488E-2,-1.165008545E-1
5.661926270E-1,-1.238861084E-1,-3.489685059E-2,-1.079711914E-1
5.686645510E-1,-1.142883301E-1,-5.619812012E-2,-9.945678711E-2
5.711669920E-1,-1.036376953E-1,-7.643127441E-2,-9.306335449E-2
5.736389160E-1,-9.617614746E-2,-9.347534180E-2,-8.879089355E-2
5.761108400E-1,-8.552551270E-2,-1.137237549E-1,-8.453369141E-2
5.786132810E-1,-7.487487793E-2,-1.350250244E-1,-7.920837402E-2
5.810852050E-1,-6.636047363E-2,-1.552581787E-1,-7.495117188E-2
5.835571290E-1,-5.996704102E-2,-1.712493896E-1,-7.069396973E-2
5.860595700E-1,-5.783081055E-2,-1.925506592E-1,-6.642150879E-2
5.885314940E-1,-4.824829102E-2,-2.106628418E-1,-6.216430664E-2
5.910339350E-1,-4.292297363E-2,-2.298278809E-1,-5.790710449E-2
5.935058590E-1,-4.078674316E-2,-2.468719482E-1,-5.790710449E-2
5.959777830E-1,-3.759765625E-2,-2.585906982E-1,-5.364990234E-2
5.984802240E-1,-3.546142578E-2,-2.692413330E-1,-4.937744141E-2
6.009521480E-1,-3.652954102E-2,-2.788391113E-1,-4.405212402E-2
6.034240720E-1,-3.546142578E-2,-2.905578613E-1,-4.298400879E-2
6.059265140E-1,-3.439331055E-2,-2.937469482E-1,-4.193115234E-2
6.083984370E-1,-3.439331055E-2,-2.969512939E-1,-3.979492188E-2
6.109008790E-1,-3.332519531E-2,-2.990722656E-1,-4.086303711E-2
6.133728030E-1,-3.546142578E-2,-2.980041504E-1,-3.765869141E-2
6.158447260E-1,-4.078674316E-2,-2.990722656E-1,-3.446960449E-2
6.183471680E-1,-4.292297363E-2,-3.001403809E-1,-3.553771973E-2
6.208190920E-1,-4.292297363E-2,-2.916107178E-1,-3.660583496E-2
6.232910150E-1,-4.718017578E-2,-2.841644287E-1,-3.872680664E-2
6.257934570E-1,-4.931640625E-2,-2.767028809E-1,-3.765869141E-2
6.282653810E-1,-5.036926270E-2,-2.681884766E-1,-3.872680664E-2
6.307678220E-1,-5.036926270E-2,-2.521972656E-1,-3.765869141E-2
6.332397460E-1,-5.250549316E-2,-2.372894287E-1,-3.660583496E-2
6.357116700E-1,-5.569458008E-2,-2.245025635E-1,-4.298400879E-2
6.382141110E-1,-5.464172363E-2,-2.074584961E-1,-4.086303711E-2
6.406860350E-1,-5.464172363E-2,-1.882934570E-1,-4.193115234E-2
6.431579590E-1,-5.464172363E-2,-1.755065918E-1,-4.937744141E-2
6.456604000E-1,-5.464172363E-2,-1.584625244E-1,-5.258178711E-2
6.481323240E-1,-5.676269531E-2,-1.424865723E-1,-5.790710449E-2
6.506347650E-1,-5.250549316E-2,-1.211700439E-1,-6.109619141E-2
6.531066890E-1,-5.357360840E-2,-1.041259766E-1,-6.323242188E-2
6.555786130E-1,-4.931640625E-2,-8.496093750E-2,-6.748962402E-2
6.580810550E-1,-5.143737793E-2,-6.259155273E-2,-7.069396973E-2
6.605529780E-1,-4.824829102E-2,-4.234313965E-2,-7.920837402E-2
6.630249020E-1,-4.718017578E-2,-2.423095703E-2,-8.453369141E-2
6.655273440E-1,-4.504394531E-2,-5.065917969E-3,-8.773803711E-2
6.679992670E-1,-4.292297363E-2,1.518249512E-2,-9.732055664E-2
6.705017090E-1,-4.078674316E-2,3.009033203E-2,-9.945678711E-2
6.729736330E-1,-4.185485840E-2,4.499816895E-2,-1.047821045E-1
6.754455560E-1,-4.185485840E-2,5.992126465E-2,-1.101074219E-1
6.779479980E-1,-4.292297363E-2,7.270812988E-2,-1.132965088E-1
6.804199220E-1,-3.971862793E-2,8.229064941E-2,-1.186218262E-1
6.828918460E-1,-3.546142578E-2,9.294128418E-2,-1.239471436E-1
6.853942870E-1,-3.439331055E-2,9.719848633E-2,-1.250152588E-1
6.878662110E-1,-3.439331055E-2,1.025238037E-1,-1.282196045E-1
6.903686520E-1,-3.013610840E-2,1.046600342E-1,-1.292724609E-1
6.928405760E-1,-2.481079102E-2,1.089172363E-1,-1.292724609E-1
6.953125000E-1,-2.267456055E-2,1.014709473E-1,-1.367340088E-1
6.978149410E-1,-1.734924316E-2,9.614562988E-2,-1.378021240E-1
7.002868650E-1,-1.309204102E-2,8.975219727E-2,-1.388702393E-1
7.027893060E-1,-7.766723633E-3,7.696533203E-2,-1.378021240E-1
7.052612300E-1,7.629394531E-4,6.204223633E-2,-1.378021240E-1
7.077331540E-1,1.815795898E-3,4.606628418E-2,-1.367340088E-1
7.102355960E-1,1.141357422E-2,2.690124512E-2,-1.388702393E-1
7.127075190E-1,1.780700684E-2,1.304626465E-2,-1.367340088E-1
7.151794430E-1,1.992797852E-2,-6.134033203E-3,-1.345977783E-1
7.176818850E-1,2.738952637E-2,-2.317810059E-2,-1.292724609E-1
7.201538080E-1,3.697204590E-2,-4.127502441E-2,-1.260833740E-1
7.226257320E-1,4.017639160E-2,-5.938720703E-2,-1.250152588E-1
7.251281740E-1,4.550170898E-2,-7.431030273E-2,-1.228790283E-1
7.276000980E-1,4.762268066E-2,-8.815002441E-2,-1.186218262E-1
7.301025390E-1,5.189514160E-2,-9.986877441E-2,-1.132965088E-1
7.325744630E-1,5.508422852E-2,-1.094512939E-1,-1.090393066E-1
7.350463870E-1,5.722045898E-2,-1.190490723E-1,-1.005096436E-1
7.375488280E-1,6.040954590E-2,-1.318359375E-1,-9.732055664E-2
7.400207520E-1,6.466674805E-2,-1.456756592E-1,-9.092712402E-2
7.425231930E-1,6.361389160E-2,-1.552581787E-1,-8.773803711E-2
7.449951170E-1,6.680297852E-2,-1.605834961E-1,-8.134460449E-2
7.474670410E-1,6.573486328E-2,-1.691131592E-1,-7.495117188E-2
7.499694820E-1,6.147766113E-2,-1.765747070E-1,-7.174682617E-2
7.524414060E-1,6.254577637E-2,-1.840209961E-1,-6.748962402E-2
7.549133300E-1,6.040954590E-2,-1.861572266E-1,-6.002807617E-2
7.574157710E-1,6.040954590E-2,-1.925506592E-1,-5.683898926E-2
7.598876950E-1,5.828857422E-2,-1.968078613E-1,-4.832458496E-2
7.623596190E-1,5.615234375E-2,-1.989440918E-1,-4.086303711E-2
7.648620600E-1,5.189514160E-2,-2.010650635E-1,-3.553771973E-2
7.673339840E-1,5.508422852E-2,-2.074584961E-1,-3.233337402E-2
7.698364260E-1,5.828857422E-2,-2.000122070E-1,-2.593994141E-2
7.723083490E-1,5.934143066E-2,-2.021331787E-1,-2.061462402E-2
7.747802730E-1,6.040954590E-2,-2.021331787E-1,-1.316833496E-2
7.772827150E-1,6.147766113E-2,-1.989440918E-1,-1.103210449E-2
7.797546390E-1,6.040954590E-2,-1.936187744E-1,-7.843017578E-3
7.822265620E-1,6.254577637E-2,-1.914825439E-1,-3.570556641E-3
7.847290040E-1,6.147766113E-2,-1.819000244E-1,-2.517700195E-3
7.872009280E-1,6.254577637E-2,-1.808319092E-1,-1.449584961E-3
7.897033690E-1,6.466674805E-2,-1.797637939E-1,2.822875977E-3
7.921752930E-1,6.787109375E-2,-1.712493896E-1,1.754760742E-3
7.946472170E-1,6.999206543E-2,-1.627197266E-1,3.875732422E-3
7.971496580E-1,7.212829590E-2,-1.584625244E-1,2.822875977E-3
7.996215820E-1,7.319641113E-2,-1.542053223E-1,3.875732422E-3
8.021240230E-1,7.426452637E-2,-1.499328613E-1,8.148193359E-3
8.045959470E-1,7.533264160E-2,-1.456756592E-1,9.201049805E-3
8.070678710E-1,7.533264160E-2,-1.424865723E-1,9.201049805E-3
8.095703120E-1,7.638549805E-2,-1.435394287E-1,1.133728027E-2
8.120422360E-1,8.065795898E-2,-1.392822266E-1,1.026916504E-2
8.145141600E-1,8.065795898E-2,-1.382141113E-1,1.026916504E-2
8.170166010E-1,8.171081543E-2,-1.382141113E-1,9.201049805E-3
8.194885250E-1,8.171081543E-2,-1.360931396E-1,1.026916504E-2
8.219604490E-1,7.958984375E-2,-1.414184570E-1,1.026916504E-2
8.244628900E-1,7.852172852E-2,-1.424865723E-1,8.148193359E-3
8.269348140E-1,7.745361328E-2,-1.467437744E-1,9.201049805E-3
8.294372560E-1,7.958984375E-2,-1.531372070E-1,9.201049805E-3
8.319091800E-1,7.533264160E-2,-1.542053223E-1,8.148193359E-3
8.343811030E-1,7.426452637E-2,-1.563262939E-1,7.080078125E-3
8.368835450E-1,7.212829590E-2,-1.605834961E-1,6.011962891E-3
8.393554690E-1,6.787109375E-2,-1.637878418E-1,7.080078125E-3
8.418579100E-1,6.787109375E-2,-1.659240723E-1,6.011962891E-3
8.443298340E-1,6.573486328E-2,-1.723022461E-1,1.026916504E-2
8.468017580E-1,6.361389160E-2,-1.755065918E-1,1.347351074E-2
8.493041990E-1,6.254577637E-2,-1.808319092E-1,1.559448242E-2
8.517761230E-1,6.147766113E-2,-1.840209961E-1,1.986694336E-2
8.542480470E-1,6.254577637E-2,-1.850891113E-1,2.198791504E-2
8.567504880E-1,6.147766113E-2,-1.893463135E-1,2.624511719E-2
8.592224120E-1,6.040954590E-2,-1.914825439E-1,3.051757812E-2
8.617248530E-1,5.934143066E-2,-1.968078613E-1,3.370666504E-2
8.641967770E-1,5.508422852E-2,-2.010650635E-1,3.903198242E-2
8.666687010E-1,5.401611328E-2,-2.032012939E-1,4.435729980E-2
8.691711420E-1,5.401611328E-2,-2.053375244E-1,4.756164551E-2
8.716430660E-1,5.294799805E-2,-2.106628418E-1,4.968261719E-2
8.741149900E-1,5.401611328E-2,-2.181091309E-1,5.075073242E-2
8.766174310E-1,5.401611328E-2,-2.266387939E-1,5.288696289E-2
8.790893550E-1,5.189514160E-2,-2.330322266E-1,5.395507812E-2
8.815917970E-1,5.082702637E-2,-2.372894287E-1,5.607604980E-2
8.840637210E-1,4.869079590E-2,-2.436828613E-1,5.607604980E-2
8.865356440E-1,4.336547852E-2,-2.490081787E-1,5.821228027E-2
8.890380860E-1,4.124450684E-2,-2.521972656E-1,5.821228027E-2
8.915100100E-1,3.804016113E-2,-2.564697266E-1,5.928039551E-2
8.939819330E-1,3.804016113E-2,-2.607269287E-1,5.821228027E-2
8.964843750E-1,3.697204590E-2,-2.617950439E-1,5.607604980E-2
