"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.946777350E-1,-1.123092651E0,-2.027999878E0,2.456115723E0
7.971496590E-1,-1.120971680E0,-1.959823608E0,2.471038818E0
7.996521000E-1,-1.117767334E0,-1.892715454E0,2.484878540E0
8.021240240E-1,-1.101791382E0,-1.820266724E0,2.494476318E0
8.046264650E-1,-1.089004517E0,-1.749969482E0,2.508316040E0
8.070983890E-1,-1.079421997E0,-1.672195435E0,2.520034790E0
8.095703130E-1,-1.063446045E0,-1.597625732E0,2.524291992E0
8.120727540E-1,-1.046401978E0,-1.519866943E0,2.528564453E0
8.145446780E-1,-1.031478882E0,-1.441040039E0,2.536010742E0
8.170471190E-1,-1.014434814E0,-1.363281250E0,2.539215088E0
8.195190430E-1,-9.963378906E-1,-1.280181885E0,2.541336060E0
8.219909670E-1,-9.814147949E-1,-1.198150635E0,2.545608521E0
8.244934090E-1,-9.622344971E-1,-1.118270874E0,2.545608521E0
8.269653320E-1,-9.483947754E-1,-1.035171509E0,2.542404175E0
8.294372560E-1,-9.313507080E-1,-9.488830566E-1,2.542404175E0
8.319396980E-1,-9.174957275E-1,-8.668670654E-1,2.541336060E0
8.344116210E-1,-8.993988037E-1,-7.795104980E-1,2.539215088E0
8.368835450E-1,-8.876800537E-1,-6.942901611E-1,2.534942627E0
8.393859870E-1,-8.791503906E-1,-6.048126221E-1,2.527496338E0
8.418579100E-1,-8.706359863E-1,-5.185241699E-1,2.526428223E0
8.443603520E-1,-8.716888428E-1,-4.333038330E-1,2.518966675E0
8.468322760E-1,-8.834075928E-1,-3.470153809E-1,2.521102905E0
8.493042000E-1,-9.025878906E-1,-2.767028809E-1,2.526428223E0
8.518066410E-1,-9.260253906E-1,-2.117309570E-1,2.534942627E0
8.542785650E-1,-9.579772949E-1,-1.467437744E-1,2.543472290E0
8.567504890E-1,-9.931335449E-1,-8.496093750E-2,2.556259155E0
8.592529300E-1,-1.034683228E0,-2.850341797E-2,2.572235107E0
8.617248540E-1,-1.082611084E0,2.262878418E-2,2.593536377E0
8.642272950E-1,-1.127365112E0,6.417846680E-2,2.612716675E0
8.666992190E-1,-1.175292969E0,1.046600342E-1,2.632949829E0
8.691711430E-1,-1.225357056E0,1.430053711E-1,2.654251099E0
