"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.236663818E0,-4.359598160E-1,-1.185760307E1,1.041242790E1,1.578643299E1
1.241638183E0,-3.525438309E-1,-1.160684395E1,1.072831917E1,1.580948911E1
1.246612548E0,-2.779397964E-1,-1.124112988E1,1.116843891E1,1.584847876E1
1.251586914E0,-3.157625198E-1,-1.086593533E1,1.156084061E1,1.586887810E1
1.256530761E0,-3.259496689E-1,-1.057786560E1,1.189433670E1,1.592082691E1
1.261505127E0,-2.452783585E-1,-1.040900993E1,1.212065220E1,1.597866887E1
1.266479492E0,-1.170883179E-1,-1.010073757E1,1.223227787E1,1.586402317E1
1.271453857E0,1.572818756E-1,-9.759858131E0,1.228643608E1,1.569191129E1
1.276397705E0,5.973272324E-1,-9.442993164E0,1.223067379E1,1.546338582E1
1.281372070E0,1.022698402E0,-9.192754745E0,1.209672546E1,1.522771876E1
1.286346435E0,1.387259483E0,-9.016725540E0,1.205569267E1,1.511838464E1
1.291320800E0,1.795388222E0,-8.864600182E0,1.199601936E1,1.502361594E1
1.296264648E0,2.193741798E0,-8.745593071E0,1.198349094E1,1.499673153E1
1.301239013E0,2.591668129E0,-8.490035057E0,1.197455788E1,1.490595436E1
1.306213379E0,2.899058342E0,-8.282868385E0,1.198357773E1,1.485316744E1
1.311187744E0,3.071519852E0,-8.210000992E0,1.195321274E1,1.482287574E1
1.316131591E0,3.345913887E0,-7.998861313E0,1.197503948E1,1.478440031E1
1.321105957E0,3.627057076E0,-7.875380039E0,1.198432636E1,1.479193132E1
1.326080322E0,3.864879608E0,-7.807669163E0,1.199654102E1,1.482612521E1
1.331054687E0,3.992615700E0,-7.484966278E0,1.189041805E1,1.460642810E1
1.335998535E0,4.460163116E0,-7.342691898E0,1.171262646E1,1.452562556E1
1.340972900E0,4.719933510E0,-7.234930515E0,1.154881668E1,1.442210659E1
1.345947265E0,5.049203873E0,-7.235882759E0,1.134926319E1,1.437561248E1
1.350921631E0,5.319636345E0,-7.165877342E0,1.117450142E1,1.430097238E1
1.355865478E0,5.523665428E0,-7.043274403E0,1.101494789E1,1.419322624E1
1.360839843E0,5.692140579E0,-6.973967075E0,1.093043613E1,1.416019475E1
1.365814209E0,5.809382439E0,-6.945053577E0,1.084679890E1,1.412925121E1
1.370788574E0,5.892585754E0,-6.908273697E0,1.075088501E1,1.407225429E1
1.375732422E0,5.809441566E0,-7.192376137E0,1.047402096E1,1.397086257E1
1.380706787E0,5.716893196E0,-7.408679485E0,1.033836842E1,1.394464991E1
1.385681152E0,5.692923546E0,-7.489941597E0,1.015472031E1,1.384293857E1
1.390655517E0,5.683393478E0,-7.707751274E0,9.921846390E0,1.378961301E1
1.395599365E0,5.629900932E0,-7.976676941E0,9.656592369E0,1.373218612E1
1.400573730E0,5.493502617E0,-8.275583267E0,9.366398811E0,1.365259229E1
1.405548095E0,5.360073090E0,-8.659038544E0,9.135654449E0,1.368099098E1
1.410522461E0,5.240121841E0,-9.008930206E0,9.148083687E0,1.386748483E1
1.415466308E0,5.199285507E0,-9.458775520E0,9.344232559E0,1.427640313E1
1.420440673E0,5.127323151E0,-9.725324631E0,9.550491333E0,1.456307888E1
1.425415039E0,5.171710014E0,-9.698708534E0,1.019378281E1,1.499082185E1
1.430389404E0,5.132081985E0,-9.569771767E0,1.147057056E1,1.579534065E1
1.435333252E0,5.271114349E0,-9.359930992E0,1.290885925E1,1.679379653E1
1.440307617E0,5.959368706E0,-9.398926735E0,1.410615921E1,1.796768284E1
1.445281982E0,6.177433014E0,-9.203777313E0,1.524862385E1,1.885180959E1
1.450256347E0,6.479644775E0,-9.162220955E0,1.644807625E1,1.991158712E1
1.455200195E0,6.702766418E0,-9.109823227E0,1.742206955E1,2.077124128E1
1.460174560E0,6.886272430E0,-8.884604454E0,1.782067299E1,2.106972544E1
1.465148925E0,6.986285210E0,-8.537889481E0,1.812983131E1,2.122250035E1
1.470123291E0,6.999458313E0,-8.600219727E0,1.801512909E1,2.115422114E1
1.475067138E0,6.789646149E0,-8.963977814E0,1.763064003E1,2.091151981E1
1.480041504E0,6.496694565E0,-9.368739128E0,1.706357193E1,2.052183715E1
1.485015869E0,6.060655594E0,-9.682708740E0,1.655705452E1,2.011522928E1
1.489990234E0,5.481913567E0,-1.013219643E1,1.606965828E1,1.977237209E1
1.494934082E0,4.910794258E0,-1.070454502E1,1.549590492E1,1.946345945E1
1.499908447E0,4.347125053E0,-1.123382092E1,1.475311661E1,1.904601476E1
1.504882812E0,3.801601410E0,-1.165563774E1,1.400523663E1,1.861324038E1
